expName,curec_ID,session_nr,date,end_date,participant,age,gender,max_strength,block_count,trial_count,block_type,outcome_mean_magnitude,outcome_uncertainty,effort_required,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time
reward-strength-pgACC-TUS,R88533/RE002,1,2024-05-10_09h32.56.313,None,999,,,2.686106363932292,1,1,approach,9,safe,40,accept,1.2405230840086006,success,9,9,"[69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 70.0, 71.0, 71.0, 71.0, 71.0, 71.0, 71.0, 71.0, 71.0, 71.0, 71.0, 70.0, 69.0, 68.0, 68.0, 68.0, 68.0, 68.0]",69.3695652173913,None
reward-strength-pgACC-TUS,R88533/RE002,1,2024-05-10_09h32.56.313,None,999,,,2.686106363932292,1,2,approach,9,safe,80,accept,0.6093142080062535,success,9,18,"[68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 68.0, 69.0, 70.0, 71.0, 71.0, 72.0, 78.0, 84.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 86.0, 87.0, 88.0, 88.0, 88.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0, 89.0]",87.70212765957447,None
