expName,curec_ID,session,session_nr,date,end_date,participant,age,gender,gripper_baseline,max_effort_calibration_1,max_effort_calibration_2,max_effort_calibration_3,max_effort,max_effort_baseline_corrected,trial_count,reward_offer,next_reward_offer,reward_earned,total_reward,effort_offer,next_effort_offer,effort_expended,estimated_k,estimated_net_value,participant_response,participant_choice_response_time,participant_effort_response_time
pgACC-TUS-staircase,,,,2024-02-01_14h00.44.707,None,,,,None,0.9500000000000001,1.7366666666666666,3.812,2.7743333333333333,None,0,18,None,None,0,6,None,None,0.5,<function <lambda> at 0x00000219A9BA4C10>,None,None,None
pgACC-TUS-staircase,,,,2024-02-01_14h00.44.707,None,,,,None,0.9500000000000001,1.7366666666666666,3.812,2.7743333333333333,None,1,18,8,18,18,6,1,89.0,0.5,0.0,None,29.638660500058904,None
pgACC-TUS-staircase,,,,2024-02-01_14h00.44.707,None,,,,None,0.9500000000000001,1.7366666666666666,3.812,2.7743333333333333,None,1,8,8,18,18,1,1,89.0,0.5,0.0,None,29.638660500058904,None
