expName,curec_ID,session,session_nr,date,end_date,participant,age,gender,handedness,gripper_baseline,max_effort_calibration_1,max_effort_calibration_2,max_effort_calibration_3,max_effort,trial_count,reward,effort,estimated_k,estimated_net_value,participant_response
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,0,18,6,0.5,0.0,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,1,18,6,0.5,0.0,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,1,8,1,0.5,0.0,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,2,8,1,0.5,7.5,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,2,25,7,0.5,7.5,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,3,25,7,0.583716593982687,0.5,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,3,8,4,0.583716593982687,0.5,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,4,8,4,0.5066318426272245,-1.3394655037229928,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,4,28,9,0.5066318426272245,-1.3394655037229928,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,5,28,9,0.4344970905827763,-13.037179252805181,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,5,8,3,0.4344970905827763,-13.037179252805181,None
pgACC-TUS-staircase,,,,2024-01-31_17h43.14.344,None,,,,,-0.07843017578125,3.2153756277901784,3.0721028645833335,3.06964111328125,3.070871988932292,5,8,3,0.4344970905827763,-13.037179252805181,None
