expName,curec_ID,trial_schedule,session_nr,date,start_time,end_time,duration,participant,age,gender,max_strength,block_number,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_rating,trial_rating_time,trial_rating_random_start_pos,trial_effort,trial_outcome_level,trial_actual_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time,final_bonus_payment
reward-effort-pgACC-TUS,R88533/RE002,B_5,1,2024-08-16_10h08.56.632,2024-08-16 10:11:52,None,None,7,,,2.658517456054687,1,1,avoid,normal,heart,None,None,None,80,-40,-40,accept,0.41647269999884884,success,0,0,"[1.4119381088983096, 1.5152506534518444, 1.5152506534518444, 1.584125683154201, 1.6530007128565578, 1.6530007128565578, 1.7218757425589142, 1.951459174900103, 2.123646749155994, 2.123646749155994, 2.307313495028945, 2.6402094719236686, 2.8927512474989756, 3.3060014257131156, 3.3060014257131156, 3.535584858054304, 3.879960006566087, 4.511314445504356, 4.511314445504356, 5.2689397722302775, 7.185961432279202, 8.80452463028458, 8.80452463028458, 10.239421082417008, 11.685796706166498, 11.685796706166498, 14.509672923963118, 17.379465828227975, 21.018363230835813, 23.601176844674185, 23.601176844674185, 26.734990696131405, 29.69661697333274, 33.082972600365274, 33.082972600365274, 35.45916112509657, 38.40930823068084, 41.93341391711809, 41.93341391711809, 43.620852144825825, 45.22793617121415, 47.317145405518964, 47.317145405518964, 48.95866694675846, 51.89733488072568, 55.82321157376, 55.82321157376, 59.990150870752565, 62.0219642469721, 66.57919537894468, 66.57919537894468, 68.96686307529303, 71.36600994325846, 71.36600994325846, 72.90421893994443, 74.04065693003331, 76.106907821104, 76.106907821104, 77.66807516102409, 79.53918013460478, 80.87076404218368, 80.87076404218368, 82.37453552401846, 84.18824463951384, 85.5313077187098, 85.5313077187098, 87.0580375437787, 88.97505920382763, 90.82320583417419, 90.82320583417419, 91.557872817666, 92.16626891337015, 92.63691494966957, 92.63691494966957, 92.92389424009608, 93.11904015758607, 93.41749861962963, 93.41749861962963, 93.18791518728844, 93.06164429950078, 93.10756098596902, 93.10756098596902, 93.08460264273491, 92.82058169554254, 92.55656074835017, 92.55656074835017, 92.17774808498721, 91.6726645338366, 90.53622654374772, 90.53622654374772, 89.36535103880765, 89.12428843484939, 88.41257979459172, 88.41257979459172, 87.51720440846108, 87.10395423024694, 86.81697493982045, 86.81697493982045, 86.18562050088218, 85.55426606194392, 85.63462026326333, 85.63462026326333, 85.63462026326333, 85.26728677151743, 85.02622416755918, 84.86551576492035, 84.86551576492035, 84.10789043819443, 83.01736913457378, 81.59395185405842, 81.59395185405842, 81.60543102567547, 82.69595232929612, 82.8107440454667, 82.8107440454667, 82.46636889695493]",87.19483100554865,1.9397475000005215,None
reward-effort-pgACC-TUS,R88533/RE002,B_5,1,2024-08-16_10h08.56.632,2024-08-16 10:11:52,None,None,7,,,2.658517456054687,1,2,avoid,normal,heart,None,None,None,90,-80,-81,accept,0.22752919999766164,success,0,0,"[0.14922923102177257, 0.241062603958248, 0.3788126633629611, 0.7576253267259222, 0.7576253267259222, 1.2512297062594777, 2.249917636943648, 2.9386679339672135, 2.9386679339672135, 4.006230894353741, 5.682189950444417, 8.930795518072236, 8.930795518072236, 10.778942148418803, 14.463756237494879, 20.731383940409327, 20.731383940409327, 25.862573653234893, 32.784514138321725, 36.228265623439555, 36.228265623439555, 41.15283024715805, 44.619540075509995, 47.753353926967215, 47.753353926967215, 51.782543164555086, 55.35256553746056, 59.11773382785606, 59.11773382785606, 61.74646412816266, 65.54606993340933, 69.25384236571954, 69.25384236571954, 72.68611467922031, 76.01507444816752, 77.66807516102409, 77.66807516102409, 79.32107587388066, 81.19218084746134, 82.4204522104867, 82.4204522104867, 84.3719113853868, 85.7264536361998, 86.94324582760811, 86.94324582760811, 87.19578760318342, 87.58607943816344, 87.55164192331226, 87.55164192331226, 87.93045458667522, 88.16003801901641, 89.17020512131764, 89.17020512131764, 90.29516393978946, 91.93668548102896, 92.43028986056252, 92.43028986056252, 92.76318583745724, 93.77335293975847, 94.63429081103793, 94.63429081103793, 96.01179140508506, 98.10100063938987, 99.71956383739526, 99.71956383739526, 100.45423082088705, 100.58050170867472, 99.83435555356584, 99.83435555356584, 99.32927200241524, 99.38666786050054, 99.27187614432992, 99.27187614432992, 97.9517714083681, 97.4122503423663, 96.63166667240627, 96.63166667240627, 95.58706205525385, 95.05902016086912, 94.86387424337912, 94.88683258661324, 94.88683258661324, 94.86387424337912, 94.63429081103793, 94.70316584074028, 94.70316584074028, 94.57689495295263, 94.22104063282379, 94.14068643150438, 94.14068643150438, 93.76187376814141, 93.73891542490729, 93.73891542490729, 93.67004039520494, 93.3945402763955, 92.95833175494724, 92.95833175494724, 92.52212323349899, 92.41881068894546, 92.16626891337015, 92.16626891337015, 91.95964382426308, 92.09739388366779, 92.28106062954075]",93.8398210463798,1.733751799998572,None
reward-effort-pgACC-TUS,R88533/RE002,B_5,1,2024-08-16_10h08.56.632,2024-08-16 10:11:52,None,None,7,,,2.658517456054687,1,3,avoid,normal,heart,None,None,None,95,-40,-36,reject,0.13167000000248663,None,-36,-36,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,B_5,1,2024-08-16_10h08.56.632,2024-08-16 10:11:52,None,None,7,,,2.658517456054687,1,4,avoid,normal,heart,None,None,None,95,-20,-16,reject,0.7651774000005389,None,-16,-52,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,B_5,1,2024-08-16_10h08.56.632,2024-08-16 10:11:52,None,None,7,,,2.658517456054687,1,5,avoid,normal,heart,0.6,2.5764763000006496,5,85,-40,-41,accept,0.32898539999951026,success,0,-52,"[-0.29845846204354515, -0.29845846204354515, -0.29845846204354515, -0.29845846204354515, -0.321416805277664, -0.25254177557530744, -0.21810426072412914, -0.21810426072412914, 0.03443751485117828, 0.29845846204354515, 0.80354201319416, 0.80354201319416, 2.066250891070697, 3.7307307755443144, 7.6910449834298165, 7.6910449834298165, 10.44604617152408, 16.449652927246163, 21.557884296837607, 21.557884296837607, 27.71072028358146, 34.13905638913474, 41.40537202273335, 41.40537202273335, 45.19349865636297, 48.9471877751414, 54.31944009192521, 54.31944009192521, 57.2351496826583, 60.87404708526615, 63.26171478161451, 63.26171478161451, 67.73859171226768, 69.86223846142367, 72.86978142509325, 72.86978142509325, 75.36076166599514, 77.47292924353408, 79.28663835902947, 79.28663835902947, 80.30828463294776, 81.5709935108243, 83.2928692533832, 83.2928692533832, 84.16528629627973, 84.22268215436503, 83.37322345470263, 83.37322345470263, 82.31713966593315, 82.53524392665729, 83.98161955040678, 85.3591201444539, 85.3591201444539, 87.3679751774393, 90.05410133583122, 92.14331057013602, 92.14331057013602, 92.18922725660427, 92.10887305528485, 92.78614418069135, 92.78614418069135, 93.60116536550258, 94.70316584074028, 94.76056169882557, 94.76056169882557, 94.45062406516497, 94.50801992325027, 94.11772808827024, 94.11772808827024, 93.53229033580021, 93.03868595626666, 92.8320608671596, 92.8320608671596, 92.53360240511604, 92.09739388366779, 90.75433080447183, 90.75433080447183, 88.82582997280586, 86.39224558998926, 84.13084878142854, 84.13084878142854, 83.13216085074437, 83.55689020057557, 84.41782807185504, 84.41782807185504, 85.11805754049566, 85.33616180121979, 85.48539103224157, 85.48539103224157, 85.96751624015806, 86.75957908173515, 86.75957908173515, 87.115433401864, 87.58607943816344, 87.40241269229048, 87.40241269229048, 87.29910014773695, 87.64347529624872, 87.70087115433402, 87.70087115433402, 87.59755860978049, 87.56312109492931]",88.24170950232467,1.688870499998302,None
reward-effort-pgACC-TUS,R88533/RE002,B_5,1,2024-08-16_10h08.56.632,2024-08-16 10:11:52,None,None,7,,,2.658517456054687,1,6,avoid,normal,heart,None,None,None,60,-20,-22,accept,0.05133120000027702,success,0,-52,"[-0.41325017821413945, -0.41325017821413945, -0.44768769306531775, -0.44768769306531775, -0.44768769306531775, -0.44768769306531775, -0.4362085214482583, -0.4362085214482583, -0.3673334917459017, -0.13775005940471313, 0.0, 0.0, 0.22958343234118855, 1.5382089966859633, 3.3863556270325312, 3.3863556270325312, 6.279106874531506, 9.516233270542266, 12.110526055997695, 12.110526055997695, 17.12692405265267, 20.66250891070697, 24.12921873905892, 24.12921873905892, 28.273199692817368, 32.979660055811735, 36.01016136271543, 36.01016136271543, 40.18857983132506, 43.09281025044109, 46.96129108539012, 49.71629227348438, 49.71629227348438, 54.2390858906058, 56.821899504444175, 59.037379626536634, 59.037379626536634, 60.8855262568832, 61.6775890984603, 62.45817276842035, 62.45817276842035, 65.43127821723874, 67.7615500555018, 69.86223846142367, 69.86223846142367, 71.8366559795579, 72.73203136568853, 73.50113586403153, 73.50113586403153, 74.48834462309863, 76.12986616433813, 76.85305397621288, 76.85305397621288, 77.56476261647055, 77.62215847455586, 77.19742912472466, 77.19742912472466, 76.80713728974463, 76.97932486400052, 76.7038247451911, 76.7038247451911, 76.0839494778699, 75.86584521714576, 75.7969701874434, 75.60182426995338, 75.60182426995338, 74.95899065939807, 74.55721965280098, 74.14396947458684, 74.14396947458684, 73.9603027287139, 74.06361527326743, 74.66053219735453, 74.66053219735453, 74.91307397292982, 75.15413657688808, 75.21153243497338, 75.21153243497338, 75.15413657688808, 74.89011562969571, 74.87863645807865, 74.87863645807865, 75.0623032039516, 74.95899065939807, 73.89142769901153, 73.89142769901153, 73.45521917756328, 73.45521917756328, 73.60444840858506, 73.3059899465415, 73.3059899465415, 72.9960523128809, 72.9386564547956, 72.68611467922031, 72.68611467922031, 72.05476024028204]",73.01355334501841,1.5845546999989892,None
reward-effort-pgACC-TUS,R88533/RE002,B_5,1,2024-08-16_10h08.56.632,2024-08-16 10:11:52,None,None,7,,,2.658517456054687,1,7,avoid,normal,heart,None,None,None,80,-60,-59,accept,0.058431800000107614,success,0,-52,"[-0.4706460362994365, -0.4706460362994365, -0.482125207916496, -0.482125207916496, -0.482125207916496, -0.4706460362994365, -0.2869792904264857, -0.2869792904264857, -0.022958343234118855, 0.3673334917459017, 1.0905213036206456, 1.0905213036206456, 2.9271887623501542, 6.141356815126794, 9.803212560968753, 9.803212560968753, 12.971463927277155, 19.767133524576337, 24.301406313314807, 24.301406313314807, 28.68644987103151, 34.41455650794417, 37.927183022764346, 42.58772669929048, 42.58772669929048, 45.8363322669183, 49.016062804843756, 54.58346103911757, 54.58346103911757, 57.8894624648307, 60.77073454071261, 65.21317395651461, 65.21317395651461, 68.45030035252537, 70.45915538551077, 72.50244793334734, 72.50244793334734, 73.67332343828741, 74.2702403623745, 75.0623032039516, 75.0623032039516, 76.78417894651052, 77.73695019072645, 78.35682545804765, 78.35682545804765, 78.59788806200591, 78.70120060655944, 78.86190900919827, 78.86190900919827, 79.59657599269008, 79.97538865605304, 81.21513919069545, 83.90126534908737, 83.90126534908737, 85.57722440517803, 85.82976618075334, 85.71497446458275, 85.71497446458275, 86.03639126986042, 86.8628916262887, 87.75826701241932, 87.75826701241932, 89.90487210480944, 90.96095589357891, 90.07705967906533, 90.07705967906533, 89.03245506191291, 87.99932961637758, 87.83862121373875, 87.83862121373875, 87.3679751774393, 86.6333081939475, 87.04655837216164, 87.04655837216164, 87.21874594641753, 86.52999564939397, 86.151182986031, 86.151182986031, 86.81697493982045, 87.9074962434411, 88.67660074178409, 88.67660074178409, 89.10133009161528, 89.62937198600002, 90.18037222361886, 90.18037222361886, 88.88322583089115, 88.19447553386759, 88.3896214513576, 88.55032985399643, 88.55032985399643, 87.81566287050462, 87.2876209761199, 87.2876209761199, 87.58607943816344, 87.52868358007814, 86.31189138866984, 86.23153718735043, 86.23153718735043, 86.30041221705278, 86.23153718735043, 86.61034985071339]",85.95302613828075,1.6859832000009192,None
reward-effort-pgACC-TUS,R88533/RE002,B_5,1,2024-08-16_10h08.56.632,2024-08-16 10:11:52,None,None,7,,,2.658517456054687,1,8,avoid,normal,heart,None,None,None,55,-20,-20,accept,0.376067500001227,success,0,-52,"[-0.6083960957041497, -0.6083960957041497, -0.5969169240870903, -0.5969169240870903, -0.6083960957041497, -0.5854377524700308, -0.5854377524700308, -0.5854377524700308, -0.562479409235912, -0.5854377524700308, -0.562479409235912, -0.562479409235912, -0.5854377524700308, -0.6083960957041497, -0.5510002376188525, -0.5510002376188525, 0.2869792904264857, 1.2971463927277154, 3.0419804785207485, 3.0419804785207485, 7.300753148449796, 10.44604617152408, 14.498193752346058, 14.498193752346058, 20.29517541896107, 24.0488645377395, 28.70940821426563, 33.41586857725999, 33.41586857725999, 35.96424467624718, 41.45128870920159, 43.54049794350641, 43.54049794350641, 46.662832623346574, 48.9471877751414, 48.9471877751414, 51.41520967280918, 54.204648375754616, 56.569357728868866, 56.569357728868866, 58.76187950772721, 60.66742199615908, 61.16102637569263, 61.42504732288499, 61.42504732288499, 61.88421418756738, 62.97473549118803, 65.93636176838935, 65.93636176838935, 66.2348202304329, 65.85600756706994, 65.85600756706994, 65.30500732945109, 65.8100908806017, 66.42996614792291, 66.48736200600821, 66.48736200600821, 66.55623703571057, 66.84321632613704, 66.84321632613704, 67.1416747881806, 67.13019561656354, 66.7169454383494, 66.7169454383494, 65.74121585089935, 64.62773620404458, 64.42111111493752, 64.42111111493752, 64.24892354068163, 63.19283975191215, 62.79106874531507, 62.79106874531507, 63.04361052089038, 63.08952720735862, 63.05508969250744, 63.05508969250744, 63.3765064977851, 64.09969430965985, 64.19152768259632, 64.19152768259632, 63.950465078638075, 64.42111111493752, 64.32927774200104, 64.32927774200104, 64.2259651974475, 65.12134058357813, 65.83304922383581, 65.83304922383581, 65.84452839545288, 65.27056981459991, 64.85731963638577, 64.24892354068163, 64.24892354068163, 63.51425655718982, 63.3765064977851, 63.30763146808275, 63.30763146808275, 64.58181951757635]",64.01425916352633,1.6230847999977414,None
reward-effort-pgACC-TUS,R88533/RE002,B_5,1,2024-08-16_10h08.56.632,2024-08-16 10:11:52,None,None,7,,,2.658517456054687,1,9,avoid,normal,heart,None,None,None,75,-20,-20,reject,0.08808780000254046,None,-20,-72,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,B_5,1,2024-08-16_10h08.56.632,2024-08-16 10:11:52,None,None,7,,,2.658517456054687,1,10,avoid,normal,heart,None,None,None,75,-80,-89,accept,0.05650640000021667,success,0,-72,"[-0.7346669834918034, -0.7346669834918034, -0.6887502970235657, -0.6772711254065062, -0.6772711254065062, -0.6543127821723874, -0.5854377524700308, -0.39029183498002057, -0.39029183498002057, -0.18366674587295084, 0.080354201319416, 0.080354201319416, 1.0905213036206456, 2.8927512474989756, 5.452606518103228, 8.86192048836988, 8.86192048836988, 11.169233983398824, 16.208590323287915, 20.52475885130226, 20.52475885130226, 26.436532234087863, 31.028200880911633, 35.29845272245774, 35.29845272245774, 41.279101134945705, 45.22793617121415, 48.64872931309785, 48.64872931309785, 52.29910588732275, 57.2925455407436, 60.66742199615908, 60.66742199615908, 63.25023560999745, 66.69398709511528, 69.34567573865601, 69.34567573865601, 71.1593848541514, 73.01901065611503, 74.8097614283763, 74.8097614283763, 76.17578285080636, 77.15151243825642, 77.42701255706585, 77.42701255706585, 77.59920013132174, 77.75990853396057, 77.71399184749232, 77.71399184749232, 77.9206169365994, 78.27647125672824, 78.57492971877178, 78.57492971877178, 80.13609705869187, 80.81336818409838, 79.76876356694596, 79.05705492668828, 79.05705492668828, 79.09149244153946, 80.27384711809657, 80.90520155703484, 80.90520155703484, 80.00982617090422, 79.06853409830535, 78.21907539864294, 78.21907539864294, 77.85174190689705, 77.09411658017112, 77.3810958705976, 77.3810958705976, 78.33386711481354, 79.28663835902947, 79.28663835902947, 79.28663835902947, 78.62084640524002, 78.57492971877178, 78.65528392009121, 79.33255504549771, 79.33255504549771, 79.75728439532891, 79.84911776826537, 79.90651362635069, 79.90651362635069, 79.64249267915832, 79.03409658345416, 78.85042983758122, 78.85042983758122, 78.83895066596415, 79.51622179137065, 79.80320108179714, 79.80320108179714, 80.65265978145955, 81.6513477121437, 81.32993090686604, 81.32993090686604, 80.14757623030893, 79.76876356694596, 79.68840936562654, 79.68840936562654]",78.8346224537151,1.642434499997762,None
