expName,curec_ID,trial_schedule,session_nr,date,end_date,participant,age,gender,max_strength,block_number,trial_count,block_action_type,block_global_effort_state,block_attention_focus,trial_rating,trial_effort,trial_outcome_level,trial_actual_outcome,response,response_time,result,points,cumulative_points,effort_trace,effort_expended,effort_response_time,final_bonus_payment
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,1,1,approach,normal,heart,None,50,100,95,accept,2.2192838999908417,success,95,95,"[0.6736549865779348, 0.6532411991058761, 0.6430343053698468, 0.6532411991058761, 0.6328274116338174, 0.6430343053698468, 0.6430343053698468, 0.6430343053698468, 0.6634480928419054, 0.7042756677860227, 0.7042756677860227, 0.7655170302021985, 0.8982066487705797, 1.0308962673389608, 1.3064823982117522, 2.153654578302185, 2.5313096465352696, 2.6129647964235043, 2.6742061588396804, 2.6435854776315924, 2.6231716901595337, 2.5823441152154163, 2.5721372214793874, 2.8375164586161494, 3.9602747695793736, 6.614067140946996, 7.940963326630807, 9.033100956385944, 10.319169567125638, 12.993375725965317, 16.035030059302052, 19.546201504496135, 23.455441805395363, 27.619854449695325, 31.33516376961, 37.33681728639523, 40.92964388147755, 44.64495320139222, 49.83005521929511, 52.932950915048025, 54.40274361303624, 56.10729486695314, 58.58757004480827, 60.12881099894869, 61.75170710297735, 63.38481010074204, 64.49736151796924, 65.22205097322733, 65.42618884794791, 65.11998203586703, 64.71170628642585, 64.39529258060894, 63.62977555040674, 63.19087911975748, 62.4661896644994, 62.139569064946464, 61.93543119022588, 61.86398293407367, 62.170189746154556, 62.139569064946464, 61.93543119022588, 61.96605187143397, 62.139569064946464, 62.3641207271391, 63.313361844589835, 64.068671981056, 64.79336143631409, 65.13018892960305, 65.24246476069938, 65.39556816673982, 65.83446459738907, 65.95694732222142, 65.95694732222142, 65.95694732222142, 65.90591285354128, 65.55887846651629, 63.65018933787881, 62.302879364722926, 61.700672634297206, 60.986190072775145, 59.791983505659715, 58.79170791952885, 57.924121951966356, 56.81157053473916, 55.58674328641564]",62.0233842107172,1.88523090002127,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,1,2,approach,normal,heart,None,70,40,38,reject,1.3526604999788105,None,0,95,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,1,3,approach,normal,heart,None,60,100,119,accept,2.287589899962768,success,119,214,"[2.5108958590632113, 2.8068957774080614, 2.98041297092056, 3.3376542516815855, 3.500964551458055, 3.500964551458055, 3.796964469802905, 4.113378175619813, 4.521653925060986, 6.277239647658028, 7.889928857950659, 9.2270319373705, 13.350617006726342, 17.494615863554245, 22.92468333112184, 32.22316352464454, 37.20412766782685, 40.062057913915055, 43.19557429087606, 47.43143519132823, 50.41184816224879, 53.18812325844876, 54.331295356884034, 57.995570208118565, 60.22067304257296, 60.22067304257296, 63.39501699447807, 65.30370612311556, 67.10011942065671, 68.30453288150818, 68.76384309962948, 69.77432557949639, 70.56025639717065, 71.68301470813387, 72.62204893184857, 73.816255498964, 74.37763465444561, 74.83694487256693, 75.28604819695222, 75.28604819695222, 75.32687577189634, 75.73515152133751, 75.5208067528809, 74.60218631663825, 74.21432435466915, 73.97956579874047, 73.3977728557868, 72.3158421197677, 72.0402559888949, 71.80549743296622, 71.18287691506843, 70.53984260969858, 70.44798056607434, 70.31529094750594, 70.47860124728241, 71.05018729650006, 70.97873904034785, 71.02977350902799, 71.58094577077358, 72.30563522603165, 72.2852214385596, 71.03998040276403, 69.63142906719199, 68.7332224184214, 68.4882569687567, 68.46784318128464, 68.63115348106112, 69.17211884907066, 69.87639451685669, 70.59087707837874, 71.13184244638829]",70.55090007791263,1.5431048999307677,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,1,4,approach,normal,heart,None,80,80,74,accept,0.9202538999961689,success,74,288,"[1.1125514172271953, 1.1227583109632244, 1.2554479295316057, 1.49020648546028, 1.6126892102926318, 2.2251028344543906, 2.2251028344543906, 2.7048268400477684, 3.9704816633154034, 6.011860410521266, 9.10454921253815, 9.10454921253815, 13.330203219254283, 19.280822267359373, 24.598613903830646, 31.21268104477764, 31.21268104477764, 38.990334071631985, 43.440539740540764, 48.68688312085983, 51.25902034233921, 54.0046747573311, 55.91336388596858, 55.91336388596858, 59.45515601237076, 61.84356914660162, 65.53846467904422, 67.99832606942729, 69.65184285466404, 71.42784236473314, 73.71418656160371, 75.2758413032162, 77.40908209404633, 77.40908209404633, 79.11363334796322, 80.75694323946394, 82.00218427525951, 82.84935645534995, 83.44135629203964, 83.9823216600492, 83.9823216600492, 84.5743214967389, 84.95197656497199, 85.5133557204536, 86.13597623835139, 86.68714850009697, 87.69763097996388, 87.69763097996388, 88.59583762873444, 88.95307890949547, 89.37156155267267, 89.49404427750503, 89.49404427750503, 89.72880283343369, 89.73900972716973, 89.60632010860135, 89.5859063211293, 89.5859063211293, 89.5859063211293, 89.69818215222561, 89.73900972716973, 89.56549253365723, 89.45321670256091, 89.483837383769, 89.136802996744, 88.56521694752637, 88.00383779204475, 88.00383779204475, 87.65680340501974, 87.57514825513152, 87.15666561195431, 86.80963122492932, 86.8402519061374, 86.86066569360946, 86.4217692629602, 86.37073479428005, 86.37073479428005, 87.15666561195431, 87.31997591173078, 87.20770008063447, 87.06480356833005, 86.86066569360946, 86.58507956273668, 86.50342441284845, 86.75859675624918, 86.75859675624918, 87.03418288712196]",86.74375036536036,1.6712643000064418,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,1,5,approach,normal,heart,None,70,60,71,reject,1.1798568000085652,None,0,288,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,1,6,approach,normal,heart,0.5900000000000001,50,80,59,accept,1.0256527999881655,success,59,347,"[7.624549620813897, 8.165514988823452, 8.522756269584479, 8.818756187929328, 9.09434231880212, 9.604687005603585, 10.71723842283078, 11.809376052585916, 14.207996080552807, 14.207996080552807, 16.473926489951314, 18.92358098659835, 21.99585600114317, 24.85378624723138, 29.161095403835752, 32.03943943739602, 36.23447276290406, 36.23447276290406, 38.27585151010992, 41.256264481030485, 43.26702254702826, 46.46178028640544, 48.96246925173262, 50.24853786247231, 50.24853786247231, 50.84053769916201, 51.269227236075245, 52.8921233401039, 52.8921233401039, 53.239157727128905, 53.66784726404214, 53.99446786359508, 54.23943331325978, 54.433364294244335, 54.6987435313811, 55.72963979872006, 58.05681157053474, 58.05681157053474, 60.08798342400458, 61.79253467792147, 62.54784481438763, 61.915017402753826, 61.82315535912956, 61.71087952803324, 61.71087952803324, 61.700672634297206, 61.700672634297206, 61.772120890449415, 62.10894838373837, 62.10894838373837, 62.51722413317955, 63.109223969869255, 63.150051544813365, 63.078603288661164, 63.078603288661164, 63.96660304369571, 64.97708552356262, 65.2832923356435, 64.78315454257806, 64.8341890112582, 65.68136119134864, 65.68136119134864, 65.3547405917957, 65.3547405917957, 64.97708552356262, 65.0077062047707, 65.03832688597879, 64.47694773049719, 64.38508568687291, 64.48715462423321, 64.49736151796924, 64.45653394302512, 64.37487879313689, 64.3442581119288, 64.39529258060894, 63.84412031886336]",60.5478606917779,1.4562528999522328,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,1,7,approach,normal,heart,None,80,20,23,reject,1.3084314999869093,None,0,347,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,1,8,approach,normal,heart,None,85,100,98,accept,1.1607647000346333,success,98,445,"[3.1845508456411458, 3.8275851510109926, 4.807446949669807, 6.644687822155084, 8.073652945199187, 9.686342155491818, 12.391168995539587, 16.259581721494698, 20.352546109642454, 24.078062323293153, 29.252957447460016, 33.478611454176146, 37.39805864881141, 40.72550600675696, 42.828126116379, 45.7166770436753, 48.993089932940705, 51.14674451124289, 53.279985302073015, 54.09653680095536, 55.00495034346198, 58.0772253580068, 59.49598358731487, 60.85350045420677, 62.54784481438763, 64.81377522378614, 66.3652230716626, 67.4471538076817, 68.33515356271626, 68.65156726853317, 69.62122217345595, 70.28467026629785, 71.92798015779857, 73.3977728557868, 74.52053116675003, 74.65322078531841, 75.08191032223164, 75.51059985914486, 76.07197901462648, 77.13349596317353, 77.97046124952793, 78.6543231298419, 79.22590917905954, 79.37901258509997, 79.51170220366835, 80.24659855266248, 81.2672879262654, 81.69597746317862, 81.86949465669113, 82.31859798107642, 82.40025313096466, 82.56356343074113, 82.90039092403009, 83.26783909852715, 83.41073561083155, 83.40052871709553, 83.45156318577567, 83.59445969808009, 83.59445969808009, 83.74756310412053, 84.08439059740948, 84.38039051575434, 84.83970073387566, 85.61542465781389, 86.34011411307196, 86.56466577526461, 86.80963122492932, 87.68742408622784, 88.11611362314108, 88.44273422269401, 88.75914792851091, 88.92245822828738, 89.136802996744, 89.5552856399212, 89.66756147101752, 89.67776836475355, 89.60632010860135, 89.63694078980944, 89.60632010860135, 89.70838904596164, 89.74921662090576, 89.69818215222561, 89.72880283343369, 89.74921662090576, 89.71859593969768, 89.69818215222561, 89.72880283343369, 89.68797525848959, 89.6573545772815, 89.68797525848959, 89.67776836475355, 89.68797525848959, 89.59611321486533]",86.86609489240521,2.075968399993144,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,1,9,approach,normal,heart,None,55,20,20,reject,1.5583250999916345,None,0,445,"null",None,None,None
reward-effort-pgACC-TUS,R88533/RE002,A_1,1,2024-07-10_11h25.03.325,None,999,28,f,2.989898681640625,1,10,approach,normal,heart,None,75,60,67,reject,1.4177703999448568,None,0,445,"null",None,None,None
